+-------------+------------+------------------+
| AMKA        | total_cost | department_name  |
+-------------+------------+------------------+
| 10061102069 |     156052 | Anesthesiology   |
| 10061102069 |     156812 | Cardiology       |
| 10061102069 |     140199 | Dermatology      |
| 10061102069 |     182575 | Emergency        |
| 10061102069 |    1042959 | Endocrinology    |
| 10061102069 |     121957 | Gastroenterology |
| 10061102069 |     128077 | Gynecology       |
| 10061102069 |     101217 | Neurology        |
| 10061102069 |     197478 | Neurosurgery     |
| 10061102069 |     298630 | Oncology         |
| 10061102069 |      57717 | Orthopedics      |
| 10061102069 |      53265 | Pediatrics       |
| 10061102069 |     124466 | Psychiatry       |
| 10061102069 |     123052 | Pulmonology      |
| 10061102069 |     114397 | Radiology        |
| 11007885645 |      91188 | Anesthesiology   |
| 11007885645 |     123536 | Cardiology       |
| 11007885645 |      93790 | Dermatology      |
| 11007885645 |     162040 | Emergency        |
| 11007885645 |     523100 | Endocrinology    |
| 11007885645 |     134455 | Gastroenterology |
| 11007885645 |     149934 | Gynecology       |
| 11007885645 |     101566 | Neurology        |
| 11007885645 |     263789 | Neurosurgery     |
| 11007885645 |     222632 | Oncology         |
| 11007885645 |     137722 | Orthopedics      |
| 11007885645 |     114901 | Pediatrics       |
| 11007885645 |     185445 | Psychiatry       |
| 11007885645 |     185443 | Pulmonology      |
| 11007885645 |     191470 | Radiology        |
| 11080704404 |      62114 | Anesthesiology   |
| 11080704404 |      36613 | Cardiology       |
| 11080704404 |      51244 | Dermatology      |
| 11080704404 |     145697 | Emergency        |
| 11080704404 |     397423 | Endocrinology    |
| 11080704404 |     109495 | Gastroenterology |
| 11080704404 |     130061 | Gynecology       |
| 11080704404 |     105627 | Neurology        |
| 11080704404 |     195799 | Neurosurgery     |
| 11080704404 |     300607 | Oncology         |
| 11080704404 |     189001 | Orthopedics      |
| 11080704404 |     165038 | Pediatrics       |
| 11080704404 |     320756 | Psychiatry       |
| 11080704404 |     292772 | Pulmonology      |
| 11080704404 |     303349 | Radiology        |
| 11282999234 |     126015 | Anesthesiology   |
| 11282999234 |     206376 | Cardiology       |
| 11282999234 |     140674 | Dermatology      |
| 11282999234 |     266108 | Emergency        |
| 11282999234 |     560233 | Endocrinology    |
| 11282999234 |     113813 | Gastroenterology |
| 11282999234 |     124997 | Gynecology       |
| 11282999234 |     101815 | Neurology        |
| 11282999234 |     199077 | Neurosurgery     |
| 11282999234 |     293486 | Oncology         |
| 11282999234 |      78865 | Orthopedics      |
| 11282999234 |      54593 | Pediatrics       |
| 11282999234 |      60427 | Psychiatry       |
| 11282999234 |      51552 | Pulmonology      |
| 11282999234 |      90988 | Radiology        |
| 11438369194 |      87152 | Anesthesiology   |
| 11438369194 |     123235 | Cardiology       |
| 11438369194 |      89511 | Dermatology      |
| 11438369194 |     248871 | Emergency        |
| 11438369194 |     435612 | Endocrinology    |
| 11438369194 |     104056 | Gastroenterology |
| 11438369194 |     107536 | Gynecology       |
| 11438369194 |     106225 | Neurology        |
| 11438369194 |     128658 | Neurosurgery     |
| 11438369194 |     370307 | Oncology         |
| 11438369194 |     121662 | Orthopedics      |
| 11438369194 |     125357 | Pediatrics       |
| 11438369194 |     202903 | Psychiatry       |
| 11438369194 |     155377 | Pulmonology      |
| 11438369194 |     200146 | Radiology        |
| 12067886294 |      33834 | Anesthesiology   |
| 12067886294 |      83390 | Cardiology       |
| 12067886294 |      38543 | Dermatology      |
| 12067886294 |      57101 | Emergency        |
| 12067886294 |      85086 | Endocrinology    |
| 12067886294 |     122061 | Gastroenterology |
| 12067886294 |     122736 | Gynecology       |
| 12067886294 |     109411 | Neurology        |
| 12067886294 |     200618 | Neurosurgery     |
| 12067886294 |     294598 | Oncology         |
| 12067886294 |     209268 | Orthopedics      |
| 12067886294 |     185887 | Pediatrics       |
| 12067886294 |     269992 | Psychiatry       |
| 12067886294 |     205268 | Pulmonology      |
| 12067886294 |     290099 | Radiology        |
| 12243954876 |     145743 | Anesthesiology   |
| 12243954876 |     155833 | Cardiology       |
| 12243954876 |     142213 | Dermatology      |
| 12243954876 |     372767 | Emergency        |
| 12243954876 |     848146 | Endocrinology    |
| 12243954876 |     125754 | Gastroenterology |
| 12243954876 |     114170 | Gynecology       |
| 12243954876 |     114245 | Neurology        |
| 12243954876 |     210179 | Neurosurgery     |
| 12243954876 |     315710 | Oncology         |
| 12243954876 |      46444 | Orthopedics      |
| 12243954876 |      51777 | Pediatrics       |
| 12243954876 |     161727 | Psychiatry       |
| 12243954876 |      86211 | Pulmonology      |
| 12243954876 |     118782 | Radiology        |
| 13635342634 |      86996 | Anesthesiology   |
| 13635342634 |     119868 | Cardiology       |
| 13635342634 |      97710 | Dermatology      |
| 13635342634 |     266088 | Emergency        |
| 13635342634 |     412172 | Endocrinology    |
| 13635342634 |     136730 | Gastroenterology |
| 13635342634 |     141941 | Gynecology       |
| 13635342634 |     100218 | Neurology        |
| 13635342634 |     294722 | Neurosurgery     |
| 13635342634 |     230065 | Oncology         |
| 13635342634 |     120321 | Orthopedics      |
| 13635342634 |     121123 | Pediatrics       |
| 13635342634 |     209820 | Psychiatry       |
| 13635342634 |     157388 | Pulmonology      |
| 13635342634 |     206264 | Radiology        |
| 13948546116 |      46329 | Anesthesiology   |
| 13948546116 |      41571 | Cardiology       |
