+------+-------------+---------------+--------------+------------+
| year | first_name  | last_name     | AMKA         | total_days |
+------+-------------+---------------+--------------+------------+
| 2010 | Vasileios   | Karagiannis   |  20000000035 |        456 |
| 2010 | Vasiliki    | Oikonomou     |  20000000006 |        456 |
| 2010 | Katerina    | Petrou        |  20000000064 |        456 |
| 2010 | Alexandros  | Anastasiou    |  20000000053 |        458 |
| 2010 | Alexander   | Portwain      |  15607764854 |        458 |
| 2010 | Katerina    | Raptis        |  20000000024 |        458 |
| 2010 | Dimitrios   | Anastasiou    |  20000000003 |        460 |
| 2010 | John        | Kostopoulos   |  20000000061 |        460 |
| 2010 | Irene       | Lazaridis     |  20000000032 |        460 |
| 2010 | Sofia       | Markou        |  20000000022 |        460 |
| 2010 | Alyosha     | Morrant       |  14777238567 |        460 |
| 2010 | Antonis     | Pappas        |  20000000051 |        460 |
| 2010 | Evangelia   | Antoniou      |  20000000030 |        462 |
| 2010 | Markos      | Nikolaidis    |  20000000059 |        462 |
| 2010 | John        | Pappas        |  20000000001 |        462 |
| 2010 | Maria       | Karagiannis   |  20000000060 |        465 |
| 2010 | Antonis     | Oikonomou     |  20000000031 |        465 |
| 2010 | Sofia       | Vasileiou     |  20000000002 |        465 |
| 2010 | Alexandra   | Anastasiou    |  20000000028 |        466 |
| 2010 | Aris        | Lazaridis     |  20000000057 |        466 |
| 2010 | Nita        | Nyssens       |  18906145412 |        466 |
| 2010 | Ioannis     | Georgiou      |  20000000067 |        467 |
| 2010 | Ynes        | Kendred       |  11007885645 |        467 |
| 2010 | Daphne      | Kouris        |  20000000038 |        467 |
| 2010 | Petros      | Nikolaidis    |  20000000009 |        467 |
| 2010 | Aris        | Alexiou       |  20000000037 |        468 |
| 2010 | Vasiliki    | Katsaros      |  20000000066 |        468 |
| 2010 | Alexandra   | Makris        |  20000000008 |        468 |
| 2010 | Niki        | Oikonomou     |  20000000056 |        468 |
| 2010 | Eldredge    | Peealess      |  10061102069 |        468 |
| 2010 | Tim         | Schild        |  18639800390 |        468 |
| 2010 | Ioannis     | Vasileiou     |  20000000027 |        468 |
| 2010 | Markos      | Dimitriou     |  20000000019 |        469 |
| 2010 | Artair      | Isakovic      |  14272369915 |        469 |
| 2010 | Alexandra   | Mylonas       |  20000000048 |        469 |
| 2010 | Aris        | Vasileiou     |  20000000077 |        469 |
| 2010 | Andriette   | Brake         |  13948546116 |        470 |
| 2010 | Panagiotis  | Christodoulou |  20000000045 |        470 |
| 2010 | Niki        | Katsaros      |  20000000016 |        470 |
| 2010 | Despina     | Raptis        |  20000000074 |        470 |
| 2010 | Ogdan       | Dulson        |  19634353963 |        471 |
| 2010 | Daphne      | Makris        |  20000000058 |        471 |
| 2010 | Petros      | Theodorou     |  20000000029 |        471 |
| 2010 | Vasileios   | Antoniou      |  20000000055 |        472 |
| 2010 | Loretta     | Breacher      |  11080704404 |        472 |
| 2010 | Murray      | Broddle       |  12243954876 |        472 |
| 2010 | Dimitrios   | Ioannou       |  20000000043 |        472 |
| 2010 | Alexandra   | Ioannou       |  20000000068 |        472 |
| 2010 | Clarey      | Jeskin        |  16416128552 |        472 |
| 2010 | Evangelia   | Karagiannis   |  20000000010 |        472 |
| 2010 | Irene       | Markou        |  20000000072 |        472 |
| 2010 | Donnamarie  | Martinson     |  15576111026 |        472 |
| 2010 | Dimitrios   | Mylonas       |  20000000023 |        472 |
| 2010 | Vasiliki    | Pappas        |  20000000026 |        472 |
| 2010 | Markos      | Petrou        |  20000000039 |        472 |
| 2010 | Despina     | Petrou        |  20000000014 |        472 |
| 2010 | Irene       | Vasileiou     |  20000000052 |        472 |
| 2010 | Sofia       | Alexiou       |  20000000062 |        473 |
| 2010 | Daphne      | Anastasiou    |  20000000078 |        473 |
| 2010 | Stephi      | Balsillie     |  14334281355 |        473 |
| 2010 | Maria       | Christodoulou |  20000000020 |        473 |
| 2010 | Niki        | Kostopoulos   |  20000000036 |        473 |
| 2010 | Ioannis     | Lazaridis     |  20000000007 |        473 |
| 2010 | Alexandros  | Makris        |  20000000033 |        473 |
| 2010 | Petros      | Raptis        |  20000000049 |        473 |
| 2010 | Panagiotis  | Samaras       |  20000000065 |        473 |
| 2010 | Katerina    | Theodorou     |  20000000004 |        473 |
| 2010 | Katerina    | Dimitriou     |  20000000044 |        474 |
| 2010 | Travers     | Glason        |  13635342634 |        474 |
| 2010 | Alexandros  | Mylonas       |  20000000073 |        474 |
| 2010 | Vasileios   | Samaras       |  20000000015 |        474 |
| 2010 | Petros      | Dimitriou     |  20000000069 |        476 |
| 2010 | Antonis     | Kostopoulos   |  20000000011 |        476 |
| 2010 | Matti       | Kurtis        |  11282999234 |        476 |
| 2010 | Maria       | Samaras       |  20000000040 |        476 |
| 2010 | Panagiotis  | Antoniou      |  20000000005 |        479 |
| 2010 | Aris        | Georgiou      |  20000000017 |        479 |
| 2010 | Daphne      | Ioannou       |  20000000018 |        479 |
| 2010 | Dimitrios   | Kouris        |  20000000063 |        479 |
| 2010 | Ioannis     | Markou        |  20000000047 |        479 |
| 2010 | Despina     | Nikolaidis    |  20000000034 |        479 |
| 2010 | Vasileios   | Papadopoulos  |  20000000075 |        479 |
| 2010 | Niki        | Pappas        |  20000000076 |        479 |
| 2010 | Graeme      | Scargill      |  14109005682 |        479 |
| 2010 | Vasiliki    | Stavrou       |  20000000046 |        479 |
| 2010 | Beverlee    | Warmisham     |  13967096273 |        479 |
| 2010 | Irene       | Alexiou       |  20000000012 |        480 |
| 2010 | Evangelia   | Christodoulou |  20000000070 |        480 |
| 2010 | Barbabra    | Faier         |  11438369194 |        480 |
| 2010 | John        | Katsaros      |  20000000041 |        480 |
| 2010 | Sinclair    | Botly         |  14381439992 |        481 |
